System;Threads;MaxPrimes;CPUEventPerSecond
h3-gcd-sysbench-result.txt;1;10000;2561
h3-gcd-sysbench-result.txt;1;20000;984
h3-gcd-sysbench-result.txt;2;10000;5119
h3-gcd-sysbench-result.txt;2;20000;1970
h3-gcd-sysbench-result.txt;4;10000;10233
h3-gcd-sysbench-result.txt;4;20000;3937
h3-gcd-sysbench-result.txt;8;10000;20468
h3-gcd-sysbench-result.txt;8;20000;7873
C3D-gcloud-2vCPU-sysbench.txt;1;10000;885
C3D-gcloud-2vCPU-sysbench.txt;1;20000;246
C3D-gcloud-2vCPU-sysbench.txt;2;10000;1066
C3D-gcloud-2vCPU-sysbench.txt;2;20000;412
C3D-gcloud-2vCPU-sysbench.txt;4;10000;995
C3D-gcloud-2vCPU-sysbench.txt;4;20000;416
C3D-gcloud-2vCPU-sysbench.txt;8;10000;1064
C3D-gcloud-2vCPU-sysbench.txt;8;20000;416
T2D-gcloud-2vCPU-sysbench.txt;1;10000;3670
T2D-gcloud-2vCPU-sysbench.txt;1;20000;1441
T2D-gcloud-2vCPU-sysbench.txt;2;10000;7334
T2D-gcloud-2vCPU-sysbench.txt;2;20000;2881
T2D-gcloud-2vCPU-sysbench.txt;4;10000;7333
T2D-gcloud-2vCPU-sysbench.txt;4;20000;2880
T2D-gcloud-2vCPU-sysbench.txt;8;10000;7332
T2D-gcloud-2vCPU-sysbench.txt;8;20000;2880
sysbench-inesctec-amd-epyc-2vcpu.txt;1;10000;4480
sysbench-inesctec-amd-epyc-2vcpu.txt;1;20000;1754
sysbench-inesctec-amd-epyc-2vcpu.txt;2;10000;8927
sysbench-inesctec-amd-epyc-2vcpu.txt;2;20000;3500
sysbench-inesctec-amd-epyc-2vcpu.txt;4;10000;8919
sysbench-inesctec-amd-epyc-2vcpu.txt;4;20000;3495
sysbench-inesctec-amd-epyc-2vcpu.txt;8;10000;8908
sysbench-inesctec-amd-epyc-2vcpu.txt;8;20000;3493
RPi5_2_sysbench_results2.txt;1;10000;2726
RPi5_2_sysbench_results2.txt;1;20000;1036
RPi5_2_sysbench_results2.txt;2;10000;5452
RPi5_2_sysbench_results2.txt;2;20000;2071
RPi5_2_sysbench_results2.txt;4;10000;10899
RPi5_2_sysbench_results2.txt;4;20000;4142
RPi5_2_sysbench_results2.txt;8;10000;10902
RPi5_2_sysbench_results2.txt;8;20000;4140
T2A-sysbench-results.txt;1;10000;3488
T2A-sysbench-results.txt;1;20000;1305
T2A-sysbench-results.txt;2;10000;6982
T2A-sysbench-results.txt;2;20000;2612
T2A-sysbench-results.txt;4;10000;6987
T2A-sysbench-results.txt;4;20000;2614
T2A-sysbench-results.txt;8;10000;6987
T2A-sysbench-results.txt;8;20000;2615
